"Depth","Age","WTD","Charcoal Influx"
1.5,-46,25.5018646444755,344.56660412758
3.5,-21,30.0673713789058,241.65
5.5,4,30.7266837958716,125.396756756757
6.5,17,33.4738718826755,198.276923076923
7.5,29,25.4255188451132,120.825
8.5,42,30.9663570012295,118.021978021978
9.5,54,28.7135368186654,251.71875
10.5,66,30.2739213275704,765.225
11.5,78,30.7391837476422,441.725806451613
12.5,90,31.7083219495183,566.027027027027
13.5,102,32.8616472898878,631.337837837838
14.5,114,27.7831923811552,671.25
15.5,126,35.2550951699953,418.86
16.5,138,38.1516934218835,362.475
17.5,149,32.4398314057231,99.8553719008265
18.5,160,35.7859979628155,1358.03305785124
19.5,172,31.4592981826452,498.642857142857
20.5,184,37.246417965498,716
21.5,196,29.0719474850417,NA
22.5,208,29.7757866498977,416.637931034483
23.5,219,33.1596655626569,971.224880382775
24.5,231.5,34.3297231513476,644.4
25.5,243,33.5547668023159,623.612903225806
26.5,256,32.6807938941978,2664.34615384615
27.5,268,27.6989100284881,1658.38235294118
29.5,292,22.8747314482677,4577.59756097561
31.5,316,26.0406041638534,1757.45454545455
32.5,329,33.0291839907605,5824.38461538462
33.5,344,24.8529842584372,1222.13793103448
34.5,359,29.3081986237176,706.761290322581
35.5,378,26.548378129163,NA
36.5,395,21.6016312907997,263.492109038737
37.5,410.5,22.153229195716,196.322580645161
38.5,426,22.9626394709963,325.363253856942
39.5,441,24.3573491555836,245.485714285714
40.5,457,17.0418682831265,140.494186046512
41.5,472,15.9691137432606,61.3714285714286
42.5,488,16.6044657189499,143.839285714286
43.5,504,16.1163304349972,183.068181818182
44.5,523,31.7876871560063,NA
45.5,551,25.441220626246,61.3714285714286
47.5,608,13.378459533765,1017.47368421053
48.5,636,10.3561607139018,269.894805194805
51.5,721,27.534918314539,NA
52.5,750,33.5246521714913,481.448275862069
53.5,782,26.3718041173687,221.5125
54.5,830,30.9753598773597,410.495192307692
55.5,878,26.7831260810246,173.914772727273
56.5,925,22.3951267324542,191.948936170213
57.5,971,25.2714651918944,195.803359683794
58.5,1019,29.6441759199507,268.5
60.5,1113,20.8719794538799,107.300647548566
61.5,1161,30.1747533666847,1006.875
62.5,1209,33.6488418518827,NA
63.5,1254,25.6109287676052,566.290909090909
64.5,1298,28.8138376577103,494.284090909091
65.5,1328,19.2970086361456,16.11
66.5,1358,18.9068039186652,NA
67.5,1388,14.151559343077,193.32
68.5,1417,16.6689844132653,47.615763546798
69.5,1446,22.4627553576029,230.753315649867
70.5,1476,15.585344073931,483.3
71.5,1505,21.0984356555359,1666.55172413793
72.5,1534,12.4744447311188,190.463054187192
73.5,1564,16.7220768136936,161.1
75.5,1621,17.705085569677,414.526315789474
76.5,1655,32.6919042045987,5685.88235294118
77.5,1683,23.1911703456506,210.964285714286
78.5,1709,14.6380291315211,486.159763313609
79.5,1735,18.7438702648311,454.384615384615
80.5,1760,21.4800179364803,632.683636363636
81.5,1786,14.9034235232604,212.43956043956
82.5,1811,10.3845765519215,241.65
83.5,1836,17.3268494857961,27.6171428571429
84.5,1863,16.1341463987498,65.0909090909091
85.5,1888.5,15.0955466229417,473.823529411765
86.5,1915,11.9904847040213,364.754716981132
87.5,1941,11.6626004891687,74.3538461538461
88.5,1966.5,14.0104229633579,63.1764705882353
89.5,1992,11.1844046555094,126.352941176471
90.5,2018,12.6898789376608,209.715976331361
91.5,2044,14.2533915879357,57.1952662721894
92.5,2069,14.8816460911754,37.4167741935484
93.5,2100,29.4024463609541,554.322580645161
94.5,2127,17.2523982855892,423.090909090909
95.5,2148,24.359353493033,2424.17142857143
96.5,2169,17.0339762961931,379.058823529412
97.5,2190,22.6664826188378,1189.07142857143
98.5,2213,18.2032439931055,2224.9104859335
99.5,2235,23.7991222855348,893.372727272727
100.5,2257,17.1642178664459,1318.09090909091
101.5,2278,23.8791983790068,1070.16428571429
102.5,2300,20.6880400178981,1255.32467532468
103.5,2322,20.4516432072283,458.05996131528
104.5,2343,35.7216112103564,3619.51948051948
105.5,2364,35.0829566904846,345.214285714286
106.5,2388,26.5981477713567,588.142857142857
107.5,2413,25.8778414109325,866.606896551724
108.5,2435,29.2881938157984,79.8842975206612
109.5,2451,21.0940975799608,57.9297945205479
110.5,2466,27.3702220297191,223.567346938776
111.5,2482,30.8905228637645,115.683510638298
112.5,2496,20.7063135029294,124.660714285714
113.5,2509,19.7210083278924,723.442827442827
114.5,2521,20.0809388128615,1772.1
115.5,2533,23.0857097376668,575.357142857143
116.5,2548,21.3851938958912,1589.52
117.5,2565,21.9800352910829,252.705882352941
118.5,2583,31.462959552298,192.769230769231
119.5,2602,29.5190438097954,409.471116816431
120.5,2620,32.8577015204868,370.344827586207
121.5,2639,33.40659076447,2465.41700404858
122.5,2655.5,25.0956239131602,775.347593582888
123.5,2672,24.7929034117736,820.145454545455
124.5,2688,34.7669977917901,3322.6875
125.5,2705,23.8522200794579,675.869034406215
126.5,2722,29.2394396729507,974.72268907563
128.5,2756,32.114088836526,1263.52941176471
130.5,2815,30.0753950293075,362.151650312221
131.5,2860,23.8282251250711,107.4
132.5,2900,31.4759362453031,466.039285714286
133.5,2941,33.3084620181109,212.180487804878
134.5,2970.5,33.0625338842549,484.938305084746
135.5,2991,39.8264040371661,1828.89578713969
136.5,3010.5,30.870233089689,836.480769230769
137.5,3031,35.624359193292,373.280487804878
138.5,3053,26.8080438968889,910.11038961039
139.5,3073,31.8047233638176,1162.940625
140.5,3094.5,22.317992838959,377.648372093023
141.5,3124,21.158886370869,182.033898305085
142.5,3193,26.8152345557519,103.473320158103
143.5,3265,34.6149673938144,1306.35576923077
144.5,3339,25.8571228884347,191.153592617007
145.5,3412.5,38.7016017190054,481.134892981583
146.5,3486,27.4075371214241,163.072653061224
147.5,3561,39.528975136305,591.676363636364
148.5,3635,28.3654501345651,100.007179054054
149.5,3709,39.5118495172976,477.883981542518
150.5,3783,38.4898157225448,1138.27413127413
151.5,3856,33.7093692982279,336.544520547945
152.5,3924,36.3382837526837,80.343989769821
153.5,3960,22.8034856123646,73.8375
154.5,3987.5,30.8370865969155,369.516083916084
155.5,4015,34.3633762181323,295.698701298701
156.5,4044,25.6524380864354,233.31724137931
157.5,4072,29.0954268034827,1225.51071428571
158.5,4099,30.3849575214945,1054.11111111111
159.5,4128,33.251038794775,224.226959247649
160.5,4154,20.3997461189031,415.142307692308
161.5,4182,23.8152445977217,863.035714285714
163.5,4236,26.8420124604397,223.75
164.5,4263,18.0106744971751,312.102564102564
165.5,4289,22.225591281393,867.461538461538
166.5,4318,19.4906485540192,66.6620689655172
167.5,4352,21.7515218379971,151.623529411765
168.5,4377,27.9425051941497,386.64
169.5,4395,21.9906624583664,119.333333333333
170.5,4411,21.7689141643911,4077.84375
172.5,4441.5,24.9873250565088,854.300784034212
173.5,4456.5,22.6559915508491,99.8366197183098
174.5,4472,25.4669014139443,4035.14231499051
175.5,4489,23.7134954774429,694.941176470588
176.5,4503,23.4078359061842,414.257142857143
177.5,4518.5,21.6783244009741,2264.69949066214
179.5,4549,36.6171856275996,6422.87213114754
180.5,4563,25.1631948537575,1593.2967032967
181.5,4577.5,29.6037190641338,518.48275862069
182.5,4591,19.6854325396133,358
183.5,4607,19.4395901053479,529.934210526316
184.5,4622,29.2972747975141,716
185.5,4637,33.0200910926466,759.471428571429
188.5,4692,34.4548078693584,3053.57727272727
189.5,4714,13.2121865361104,246.043636363636
190.5,4731,25.6626150901975,1210.54269449715
191.5,4748,24.8805770953049,4382.86764705882
192.5,4764,29.8431393102369,709.190217391304
193.5,4780.5,20.4169514750832,303.009404388715
194.5,4795,15.8742627038765,355.531034482759
195.5,4810,15.832001762743,833.00487804878
196.5,4824,22.9155674635139,309.502463054187
197.5,4840,27.43048455003,1115.30769230769
198.5,4854,27.4974660928518,345.214285714286
199.5,4868,24.7057005403896,502.12987012987
201.5,4899,23.5195273970434,576.841935483871
202.5,4913,26.5344815412206,517.821428571429
203.5,4928.5,19.8878666557135,623.612903225806
204.5,4942.5,26.2555209510267,2459.65178571429
205.5,4958,28.3386487740679,241.398543184183
206.5,4972,28.0754144673747,186.991071428571
207.5,4986,21.2336167817366,427.408163265306
208.5,5004.5,26.0342093184972,296.867321867322
209.5,5025.5,30.9350282309073,1825.8
210.5,5042,18.4303654517252,361.462282398453
211.5,5057,22.0853968238555,193.32
212.5,5072,18.8751980471273,174.162162162162
213.5,5087,30.4725952567357,322.2
214.5,5104,27.0231192673744,483.3
215.5,5119,18.6936214190856,247.846153846154
216.5,5135,18.0913490833355,86.3035714285714
217.5,5151,26.3894346456565,145.4375
218.5,5166,25.1201426646079,322.2
219.5,5182,18.1207122423135,60.4125
220.5,5199,26.1000823228215,1247.73529411765
221.5,5215,31.3555941455459,201.375
222.5,5231,17.0478944507029,453.09375
224.5,5263,33.3659882436119,302.0625
225.5,5279,23.2100745611431,546.589285714286
226.5,5295,24.2471440415716,1605.24642857143
227.5,5310,35.5235826536158,590.7
228.5,5318,17.792354316263,1251.40178571429
229.5,5323,22.377959063379,1264.01538461538
230.5,5328,20.7434156488896,48.33
231.5,5334,21.2220749048179,1288.8
232.5,5339,18.371658400157,2319.84
233.5,5344,17.2133796637617,3106.92857142857
234.5,5350,19.1909621379883,322.2
235.5,5355,16.1715044100829,1173.72857142857
236.5,5360,17.3644960461721,1757.45454545455
237.5,5366,21.9093700834727,1369.35
238.5,5371,26.4158820173164,3690.65454545455
239.5,5376,23.4816903750868,3122.86153846154
240.5,5381,27.2372719438323,NA
241.5,5386,27.0193703471853,6444
242.5,5391,30.9333976267542,3590.22857142857
243.5,5396,36.0140540508898,8860.5
244.5,5402,31.4557795692055,1258.59375
245.5,5407,38.9424495403368,4098.384
246.5,5414,20.4648511547977,718.045714285714
247.5,5425,29.6416151770624,834.790909090909
248.5,5445,26.6675918057209,1804.32
249.5,5463,31.1752255224447,1491.66666666667
250.5,5482,23.3427698260084,221.189931350114
251.5,5500,25.4338049241793,429.6
252.5,5518,37.3946339788263,743.538461538462
253.5,5536.5,33.254284959073,474.987714987715
254.5,5556,27.4990633271839,104.356275303644
255.5,5573,30.6736748116142,89.7770897832817
256.5,5592,30.6337483207425,356.115789473684
257.5,5611,33.1303722145229,195.668016194332
258.5,5635,31.1454066412772,695.659090909091
259.5,5693,37.5876612859379,178.148632580262
260.5,5756,27.6387336847931,65.2887537993921
261.5,5819,36.9996983258463,107.968253968254
262.5,5882,23.8071997663672,30.6857142857143
263.5,5938,12.7242045956745,138.085714285714
264.5,5974,15.4102390313039,117.46875
265.5,6004,10.3242687113454,371.769230769231
266.5,6033,17.6863772310077,422.193103448276
267.5,6063,13.7597535182256,664.5375
268.5,6093,9.09434499923435,175.745454545455
269.5,6123,13.4098412764541,644.4
270.5,6153.5,13.808952538509,422.55737704918
271.5,6185,9.98927330287567,859.2
272.5,6215,19.7138523962909,167.544
273.5,6246,12.8478537475917,207.870967741935
274.5,6277,13.572748467599,166.296774193548
275.5,6307.5,16.3357095683755,126.767213114754
276.5,6338,10.6876202484872,145.254098360656
277.5,6369,10.7378908717693,214.366935483871
278.5,6398,7.87643026081929,115.376657824934
279.5,6428,16.4425376011562,230.142857142857
280.5,6458,13.941440121098,41.5741935483871
281.5,6488,14.8106410983779,286.4
282.5,6519,27.3746167584546,425.190615835777
283.5,6550,11.9171421668059,155.903225806452
284.5,6580,16.461723183247,322.2
285.5,6610,14.4703329372383,115.661538461538
286.5,6639,14.0625362751167,244.427586206897
287.5,6669,12.726222099715,180.432
288.5,6700,30.0311626212323,328.217317487267
289.5,6721,20.1621918556439,188.298701298701
290.5,6737,17.5903266060293,442.042682926829
291.5,6752.5,14.4516927873779,124.722580645161
292.5,6768,16.3000565210485,176.238429172511
293.5,6783,9.97221315893111,26.85
294.5,6799,10.5396188225203,222.572368421053
295.5,6815,16.5509212754968,248.757352941176
296.5,6830,14.2700201450599,190.933333333333
297.5,6847,23.4104981716406,1705.76470588235
298.5,6865,31.1140830488421,1534.28571428571
299.5,6881,16.6912667350876,439.363636363636
300.5,6892,12.5894861350429,131.809090909091
301.5,6903,13.2417117763199,396.844574780059
302.5,6914,15.202072836909,185.646606914213
303.5,6925,12.1328135451998,219.681818181818
304.5,6936,19.9198840764902,219.681818181818
305.5,6947,17.9331672808445,3308.14973262032
306.5,6957,20.05701610948,1242.77142857143
307.5,6968,33.7602678675529,915.340909090909
309.5,6988,10.2086547210784,661.357894736842
310.5,6999,10.9104727651015,0
311.5,7009,21.449286218738,64.44
312.5,7020,19.6638151234897,97.6363636363636
313.5,7030,17.9812774768236,856.131428571429
314.5,7040.5,13.9697870765429,257.76
315.5,7051,18.8636709140427,562.571428571429
316.5,7062.5,20.3266265436245,616.382608695652
317.5,7079,10.0408041597732,1288.8
318.5,7095,9.53542283705567,469.875
319.5,7106,11.9068218943409,540.755244755245
320.5,7117.5,8.75866921503309,296.654731457801
321.5,7129,9.97885425500877,660.409937888199
322.5,7139,14.6111599866337,322.2
323.5,7150,13.4160214295799,702.981818181818
324.5,7161,13.5588059315929,0
325.5,7171,11.877335306159,166.655172413793
326.5,7181,9.13293303627793,297.415384615385
327.5,7191.5,16.6698154723277,818.285714285714
328.5,7201,14.6210954195824,581.413533834586
329.5,7210,6.68036073513919,292.909090909091
330.5,7221,8.91818512912607,1977.13636363636
331.5,7232,3.79039318915618,292.909090909091
332.5,7243,10.0873529303757,188.298701298701
333.5,7254,10.0376754598713,351.490909090909
334.5,7264,12.5594679656344,845.775
335.5,7272.5,20.5552204173912,1971.10588235294
336.5,7282.5,5.48946261250625,1503.6
337.5,7294,8.41793856542769,747.130434782609
338.5,7303,6.43358387844839,0
339.5,7312,4.2549180298879,671.25
340.5,7323,10.8467404734479,1318.09090909091
342.5,7357,8.89115226008397,87.4751131221719
343.5,7372,21.2921981011548,429.6
344.5,7382,21.681736904823,116.658620689655
345.5,7393,16.8482315924517,568.588235294118
346.5,7403,21.3104528230358,187.083870967742
