Paleon testate calibration dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Revised, 25 March 2017 (went back to count data, made a few taxonomic corrections and deleted samples with less than 50 counts)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All samples with greater than 50 individuals counted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE,STUDY,Peatland,Peatland type,Location (lat/long: dec),,,,WTD (cm),pH,TOTAL COUNT,ampfla,ampwri,arcart,arccat,arccre,arcdis,arcgib,archem,arcvul,assmus,asssem,bulind,cenacu,cencas,ceneco,cenpla,cortri,cryovi,crysac,cycarc,cyckah,cypamp,difacu,difbaf,difbac,difglo,diflei,difluc,difobl,difovi,difpri,difpul,difrub,difurc,eugcri,eugrot,eugstr,eugtub,helpet,helros,helsph,helsyl,hyaele,hyamin,hyapap,hyasub,lesspp,nebbar,nebcar,nebcol,nebfla,nebgal,nebgri,nebmar,nebmil,nebpen,nebret/lon,nebtin,nebtub,nebvit,nebwai,parirr,phracr,plalen,plaspi,placal,pontsp,psefas,pseful,quasym,sphlen,traden,triarc,trimin
SR16,Booth 2008,South Rhody Peatland,Kettle,46,33.845,-86,4.476,9,4.38,161,79,0,0,0,2,10,2,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
SR17,Booth 2008,South Rhody Peatland,Kettle,46,33.864,-86,4.47,5,4.16,153,1,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,59,0,35,0,0,0,0,6,0,0,6,0,0,0,0,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
SR18,Booth 2008,South Rhody Peatland,Kettle,46,33.873,-86,4.47,22,3.77,158,0,0,0,0,0,0,0,0,0,112,1,1,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
SS01,Booth 2008,Small Sarracennia Peatland,Kettle,46,4.559,-92,6.919,0.666666667,4.05,69,1,0,0,0,1,16,0,22,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS02,Booth 2008,Small Sarracennia Peatland,Kettle,46,4.558,-92,6.917,23.5,3.85,152,0,0,2,0,0,0,0,0,0,31,0,0,3,5,57,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,2,3,14,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
SS03,Booth 2008,Small Sarracennia Peatland,Kettle,46,4.558,-92,6.909,6,3.86,184,7,0,5,0,0,0,0,0,0,5,2,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,91,0,37,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
SS04,Booth 2008,Small Sarracennia Peatland,Kettle,46,4.558,-92,6.906,16.5,3.83,192,5,0,2,0,0,0,0,0,0,10,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,97,0,25,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0
SS05,Booth 2008,Small Sarracennia Peatland,Kettle,46,4.558,-92,6.902,-8.666666667,4.23,123,3,6,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,8,26,0,1,3,0,0,0,0,0,0,0,0,0,0,0,28,0,2,0,16,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,1,0
SS06,Booth 2008,Small Sarracennia Peatland,Kettle,46,4.556,-92,6.9,6.5,4.12,150,1,0,2,0,0,0,0,0,0,15,7,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,1,0,26,0,11,0,21,0,0,0,1,6,0,0,5,15,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,3,0
SS07,Booth 2008,Small Sarracennia Peatland,Kettle,46,4.555,-92,6.898,-8.166666667,4.41,109,1,0,0,0,0,0,0,2,2,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,53,0,1,7,0,0,0,0,0,0,0,1,0,6,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
SS08,Booth 2008,Small Sarracennia Peatland,Kettle,46,4.553,-92,6.895,15,3.94,103,0,0,6,0,0,0,0,0,0,3,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,40,0,8,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0
SS09,Booth 2008,Small Sarracennia Peatland,Kettle,46,4.551,-92,6.89,19.5,3.91,187,2,0,1,0,0,0,0,0,0,16,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,81,0,31,0,0,0,0,7,0,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0
SS10,Booth 2008,Small Sarracennia Peatland,Kettle,46,4.548,-92,6.886,8,3.79,182,1,0,4,0,0,0,0,0,0,7,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0,85,0,36,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0
TL01,Booth 2008,Crystal Peatland,Kettle,46,0.449,-89,36.335,11.33333333,3.57,307,89,0,0,0,0,0,0,0,0,13,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,50,1,32,0,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
TL02,Booth 2008,Crystal Peatland,Kettle,46,0.451,-89,36.334,12.83333333,3.67,327,0,0,0,67,0,0,0,0,0,42,19,1,23,1,15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,14,2,2,17,0,13,0,0,0,0,0,0,0,0,0,4,0,0,82,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0
TL03,Booth 2008,Crystal Peatland,Kettle,46,0.449,-89,36.319,36.5,3.65,213,8,0,1,7,0,0,0,0,0,60,7,8,0,8,7,0,10,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,15,1,2,5,1,4,1,12,0,0,0,0,0,0,0,0,0,5,0,0,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0
TL04,Booth 2008,Crystal Peatland,Kettle,46,0.455,-89,36.311,13.16666667,3.45,242,33,0,2,0,0,9,0,0,0,37,2,1,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,7,2,0,34,0,28,0,38,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,2,0
TL05,Booth 2008,Crystal Peatland,Kettle,46,0.454,-89,36.312,55.16666667,3.54,123,1,0,0,0,0,0,0,0,0,66,21,6,0,1,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
TL06,Booth 2008,Crystal Peatland,Kettle,46,0.455,-89,36.3,19,3.59,294,88,2,3,1,0,0,0,0,0,52,8,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,16,1,22,0,47,0,0,0,0,5,0,0,17,0,3,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
TL07,Booth 2008,Crystal Peatland,Kettle,46,0.455,-89,36.3,44.5,3.49,126,0,0,1,3,0,0,0,0,0,77,19,2,0,4,10,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
TL08,Booth 2008,Crystal Peatland,Kettle,46,0.459,-89,36.297,6.833333333,3.66,276,55,0,3,0,0,39,0,0,1,17,13,0,1,0,0,0,0,0,0,1,0,0,0,0,3,17,15,0,0,0,0,0,0,0,0,0,0,3,0,0,31,0,20,0,13,1,0,0,1,7,0,0,4,1,1,0,0,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0
TL09,Booth 2008,Crystal Peatland,Kettle,46,0.461,-89,36.297,28.16666667,3.51,318,15,0,1,0,0,0,0,0,0,106,20,5,3,22,3,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,35,0,0,0,3,5,0,9,0,0,0,0,1,0,0,0,0,3,0,0,17,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0
TL10,Booth 2008,Crystal Peatland,Kettle,46,0.461,-89,36.297,56.5,3.49,131,2,0,1,0,0,0,0,0,0,46,16,24,0,4,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
TL11,Booth 2008,Crystal Peatland,Kettle,46,0.465,-89,36.291,10.16666667,3.5,279,75,1,1,0,0,4,0,0,0,42,4,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,2,1,9,0,0,23,1,15,0,45,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,37,0,6,0,0,0,0,0,0,0,0,0
TL12,Booth 2008,Crystal Peatland,Kettle,46,0.473,-89,36.28,24.5,3.58,299,44,0,0,0,0,1,0,0,0,76,9,0,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,19,1,43,1,42,1,0,0,0,21,0,0,14,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TL13,Booth 2008,Crystal Peatland,Kettle,46,0.478,-89,36.274,43.83333333,3.53,286,2,0,0,0,0,0,0,0,0,136,30,9,2,3,1,0,11,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,35,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0
TL14,Booth 2008,Trout Peatland A,Kettle,46,0.179,-89,35.617,26.83333333,3.83,360,71,0,0,0,0,0,0,0,0,26,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,7,0,150,0,0,0,0,0,0,0,1,0,0,0,0,90,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
TL15,Booth 2008,Trout Peatland A,Kettle,46,0.187,-89,35.618,18,4.04,329,21,0,0,0,0,36,0,0,3,47,4,1,6,13,1,3,4,11,0,0,0,0,0,0,2,67,2,1,0,0,0,0,0,0,0,7,1,15,0,0,0,0,7,0,36,0,0,1,0,0,0,0,12,0,10,0,0,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
TL16,Booth 2008,Trout Peatland A,Kettle,46,0.195,-89,35.617,37.33333333,3.68,280,0,0,0,0,0,0,0,0,1,197,26,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,30,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,6,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
TL17,Booth 2008,Trout Peatland A,Kettle,46,0.196,-89,35.616,11.16666667,3.81,235,3,4,0,0,0,1,0,0,7,59,9,0,0,9,0,1,1,1,0,2,0,0,0,0,4,93,0,0,0,0,0,0,0,0,0,1,3,14,2,0,1,0,3,0,2,1,0,1,0,1,0,0,6,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
TL18,Booth 2008,Trout Peatland A,Kettle,46,0.2,-89,35.616,21.16666667,3.78,318,56,0,1,0,0,0,0,0,0,51,4,2,5,22,1,0,3,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,39,0,70,0,0,0,0,1,0,0,4,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TL19,Booth 2008,Trout Peatland A,Kettle,46,0.214,-89,35.619,6,4.43,274,2,0,0,0,0,52,0,1,18,52,0,0,1,4,0,2,2,1,0,3,0,0,5,0,2,86,1,5,1,0,0,0,0,0,0,4,8,5,4,0,1,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
TL21,Booth 2008,Trout Peatland A,Kettle,46,0.214,-89,35.619,30.83333333,3.58,126,0,0,0,0,0,0,0,0,0,72,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
TL22,Booth 2008,Trout Peatland A,Kettle,46,0.214,-89,35.619,6.166666667,4.26,292,3,1,0,0,0,10,0,2,9,224,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
TL23,Booth 2008,Trout Peatland A,Kettle,46,0.232,-89,35.629,23.5,3.6,276,2,0,4,0,0,0,0,0,0,50,10,3,0,0,1,0,0,0,0,0,0,0,0,0,1,11,3,3,0,0,0,0,0,0,0,3,0,17,0,0,0,0,26,0,39,0,0,0,0,0,0,0,16,0,5,0,0,6,0,0,0,0,75,0,0,0,0,0,0,0,0,0,1,0
TL24,Booth 2008,Trout Peatland A,Kettle,46,0.234,-89,35.63,4.166666667,4.32,188,0,0,0,0,0,5,0,0,11,76,0,0,2,0,0,0,1,0,0,1,0,0,1,0,5,38,2,2,2,0,0,0,0,0,0,0,8,8,5,0,2,0,1,0,0,0,0,1,10,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
TL25,Booth 2008,Trout Peatland A,Kettle,46,0.233,-89,35.631,38.33333333,3.54,240,1,0,0,0,0,0,0,0,0,171,26,2,0,0,2,0,1,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0
TL26,Booth 2008,Trout Peatland A,Kettle,46,0.233,-89,35.631,17,3.57,153,8,0,0,0,0,5,0,0,0,15,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,33,9,4,0,0,0,0,0,0,0,0,1,5,0,0,0,0,4,0,25,0,0,0,0,12,0,0,2,0,3,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
TL27,Booth 2008,Trout Peatland I,Kettle,46,2.803,-89,38.916,17.33333333,3.55,308,106,0,0,9,0,0,0,0,0,9,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,34,1,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
TL28,Booth 2008,Trout Peatland I,Kettle,46,2.807,-89,38.913,27.66666667,3.58,239,1,0,0,22,0,0,0,0,0,98,6,7,4,5,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,23,0,1,1,1,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
TL29,Booth 2008,Trout Peatland I,Kettle,46,2.806,-89,38.908,11.83333333,3.69,271,128,0,0,3,0,0,0,0,0,18,8,6,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,64,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0
TL30,Booth 2008,Trout Peatland I,Kettle,46,2.806,-89,38.908,32.5,3.52,256,6,0,1,2,1,0,0,0,0,144,8,5,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,3,2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
TL31,Booth 2008,Trout Peatland I,Kettle,46,2.806,-89,38.903,10.66666667,3.89,341,76,1,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,179,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,63,0,1,0,0,0,0,0,0,0,0,0
TL32,Booth 2008,Trout Peatland I,Kettle,46,2.808,-89,38.899,9.833333333,3.78,335,80,8,0,0,0,8,0,0,0,17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0,1,1,2,0,0,11,0,5,0,66,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,112,0,1,0,0,0,0,0,0,0,0,0
TL33,Booth 2008,Trout Peatland I,Kettle,46,2.806,-89,38.9,30.83333333,3.52,303,22,0,1,3,0,0,0,0,0,108,28,5,2,1,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,2,0,1,75,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0
TL34,Booth 2008,Trout Peatland I,Kettle,46,2.806,-89,38.897,34.66666667,3.5,120,2,0,0,0,0,0,0,0,0,63,17,3,2,4,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
TL35,Booth 2008,Trout Peatland I,Kettle,46,2.806,-89,38.893,8.166666667,3.75,368,103,3,0,0,0,2,0,0,0,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,7,0,1,0,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,1,0,0,0,0,0,0,0,2,0
TL36,Booth 2008,Trout Peatland I,Kettle,46,2.807,-89,38.892,12.66666667,3.79,331,116,1,0,4,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,4,0,134,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
TL37,Booth 2008,Falliston Peatland,Kettle,45,59.694,-89,36.879,19.16666667,4.01,378,67,0,0,0,0,1,0,0,0,33,6,3,8,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,19,0,214,0,0,0,0,0,0,0,2,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TL38,Booth 2008,Falliston Peatland,Kettle,45,59.696,-89,36.873,22.5,3.88,404,150,0,0,0,0,0,0,0,0,38,14,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,16,0,153,0,0,0,0,1,0,0,2,0,1,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
TL39,Booth 2008,Falliston Peatland,Kettle,45,59.697,-89,36.868,29.83333333,3.69,300,20,0,0,0,0,4,0,0,1,97,14,3,1,3,0,0,6,9,0,20,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,29,0,0,1,6,2,0,47,1,0,0,0,1,0,0,3,0,4,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
TL40,Booth 2008,Falliston Peatland,Kettle,45,59.698,-89,36.862,6,3.7,175,34,3,0,0,0,6,0,0,0,7,3,0,1,1,0,0,0,0,0,3,0,0,0,0,11,26,0,0,0,0,0,0,0,0,0,1,0,4,1,0,8,0,14,0,14,2,0,0,0,4,0,0,7,0,3,0,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
TL41,Booth 2008,Falliston Peatland,Kettle,45,59.703,-89,36.851,28.5,3.53,318,1,0,1,0,0,0,0,0,0,168,15,6,1,10,4,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,27,0,0,0,6,3,0,6,0,0,0,0,6,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
TL42,Booth 2008,Falliston Peatland,Kettle,45,59.704,-89,36.847,14.33333333,3.64,221,1,1,2,0,0,0,0,0,0,49,10,2,2,0,0,0,0,0,0,0,0,0,0,0,3,1,6,1,0,0,0,0,0,0,0,0,0,6,0,0,59,0,9,0,4,0,0,0,0,18,0,0,14,0,1,0,0,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0
TL43,Booth 2008,Falliston Peatland,Kettle,45,59.708,-89,36.837,44,3.54,160,1,0,0,0,0,0,0,0,0,93,7,2,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0
TL44,Booth 2008,Falliston Peatland,Kettle,45,59.714,-89,36.828,25,3.58,215,0,0,6,1,0,0,0,0,0,36,5,5,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,108,0,1,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
TL45,Booth 2008,Falliston Peatland,Kettle,45,59.717,-89,36.823,25.16666667,3.52,288,1,0,1,0,0,0,0,0,0,156,58,1,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31,0,0,0,5,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,1
TL46,Booth 2008,Falliston Peatland,Kettle,45,59.722,-89,36.809,2.5,4.1,280,3,0,2,0,0,11,0,0,3,126,1,0,0,0,0,0,0,0,0,0,0,0,4,0,7,51,4,2,2,0,0,0,0,0,0,5,5,15,1,1,6,0,2,0,5,0,0,2,2,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0
TL47,Booth 2008,Falliston Peatland,Kettle,45,59.724,-89,36.799,9,3.5,255,67,0,4,0,0,0,0,0,0,15,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,49,0,13,0,55,0,0,0,0,3,0,0,13,0,0,0,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
TL48,Booth 2008,Falliston Peatland,Kettle,45,59.725,-89,36.791,7.666666667,3.47,269,75,2,2,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62,0,20,0,68,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0
TL49,Booth 2008,Falliston Peatland,Kettle,45,59.725,-89,36.788,27.33333333,3.82,223,1,0,0,1,0,0,0,0,0,62,15,3,0,13,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,2,2,2,3,1,0,43,0,0,0,0,0,0,0,0,0,3,0,0,29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0
TL50,Booth 2008,Falliston Peatland,Kettle,45,59.726,-89,36.784,8.833333333,3.53,426,152,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,43,0,21,0,156,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
TL51,Booth 2008,Falliston Peatland,Kettle,45,59.729,-89,36.786,33.66666667,3.57,325,0,0,0,0,0,0,0,0,0,165,55,2,0,5,4,0,7,45,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2
TL52,Booth 2008,Trout Peatland E,Kettle,46,0.29,-89,37.616,22.66666667,3.68,252,61,0,0,2,0,0,0,0,0,10,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,54,0,7,0,76,0,0,0,0,4,0,0,1,0,1,0,0,2,0,0,0,0,8,0,1,0,0,0,0,0,0,0,4,0
TL53,Booth 2008,Trout Peatland E,Kettle,46,0.288,-89,37.62,17.83333333,3.67,218,32,0,0,2,0,1,0,0,0,32,4,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,5,0,0,4,1,11,0,76,0,0,0,0,2,0,0,3,0,4,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
