Paleon testate calibration dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Revised, 25 March 2017 (went back to count data, made a few taxonomic corrections and deleted samples with less than 50 counts)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All samples with greater than 50 individuals counted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE,STUDY,Peatland,Peatland type,Location (lat/long: dec),,,,WTD (cm),pH,TOTAL COUNT,ampfla,ampwri,arcart,arccat,arccre,arcdis,arcgib,archem,arcvul,assmus,asssem,bulind,cenacu,cencas,ceneco,cenpla,cortri,cryovi,crysac,cycarc,cyckah,cypamp,difacu,difbaf,difbac,difglo,diflei,difluc,difobl,difovi,difpri,difpul,difrub,difurc,eugcri,eugrot,eugstr,eugtub,helpet,helros,helsph,helsyl,hyaele,hyamin,hyapap,hyasub,lesspp,nebbar,nebcar,nebcol,nebfla,nebgal,nebgri,nebmar,nebmil,nebpen,nebret/lon,nebtin,nebtub,nebvit,nebwai,parirr,phracr,plalen,plaspi,placal,pontsp,psefas,pseful,quasym,sphlen,traden,triarc,trimin
AT02,Booth 2008,Adams Trail Peatland,Kettle,46,32.831,-86,3.592,-5.333333333,4.05,139,17,1,0,0,3,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,6,0,0,0,0,0,0,0,0,2,4,0,0,4,0,2,0,29,0,0,0,15,7,0,0,0,3,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
AT03,Booth 2008,Adams Trail Peatland,Kettle,46,32.834,-86,3.589,5,3.89,225,76,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,66,0,45,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,1,0
AT04,Booth 2008,Adams Trail Peatland,Kettle,46,32.837,-86,3.584,5,3.93,161,21,0,1,3,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,37,1,22,0,0,0,4,15,0,0,7,2,0,0,0,3,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0
AT06,Booth 2008,Adams Trail Peatland,Kettle,46,32.844,-86,3.576,25.5,3.79,153,0,0,1,7,0,0,0,0,0,65,2,6,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
AT07,Booth 2008,Adams Trail Peatland,Kettle,46,32.848,-86,3.568,3,4.07,157,36,36,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,2,0,0,24,0,5,0,23,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0
AT08,Booth 2008,Adams Trail Peatland,Kettle,46,32.852,-86,3.565,10.5,3.96,169,40,0,1,2,0,0,0,0,0,6,1,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,0,42,0,28,0,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1,0
AT09,Booth 2008,Adams Trail Peatland,Kettle,46,32.859,-86,3.559,-0.5,4.08,152,29,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,11,0,31,0,12,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0
AT10,Booth 2008,Adams Trail Peatland,Kettle,46,32.864,-86,3.553,8,3.96,213,61,0,1,2,0,2,0,0,0,9,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,20,0,18,0,38,0,0,0,2,11,0,0,11,0,0,0,0,0,0,0,0,0,25,0,2,0,0,0,0,0,0,0,1,0
AT11,Booth 2008,Adams Trail Peatland,Kettle,46,32.841,-86,3.58,31,3.83,125,3,0,0,0,0,0,0,0,0,76,0,8,1,2,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
AT12,Booth 2008,Adams Trail Peatland,Kettle,46,32.845,-86,3.586,23.5,3.75,154,0,0,0,1,0,0,0,0,0,46,3,9,1,14,24,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
