"","Observation","Age","MVGP","Bummer","WA","WAPLS","MLRC","MAT","RF"
"1",1,-46,10.9772779558016,15.896177129221,15.8248052925608,16.1421105476044,20.1869394797693,21.8496572049346,11.495733783871
"2",2,-21,17.6355971241355,30.2033726759329,10.3350562074357,26.4412607135403,10.7402937438612,19.2426724769015,27.2842888981884
"3",3,4,24.6230678450544,17.437225967779,23.2642106900171,20.027787822543,21.2721723005047,22.4731349284841,17.5995736948134
"4",4,17,17.4341414474174,22.6365481619734,9.48581417708427,19.7338504449608,5.57785211964741,18.613857580958,12.2007813243886
"5",5,29,23.5616111928766,12.772832891003,15.9003133165731,12.9560365911417,16.1733042950356,13.0175484782915,17.1107677983667
"6",6,42,13.242285683624,5.77656288747064,13.3212909114407,4.08653091951232,15.8098298380036,12.8174624037064,15.6630021298893
"7",7,54,5.36358238573265,20.8671853502691,15.1440755883041,19.670452579419,11.6946177926055,13.8800249089851,12.514588934908
"8",8,66,10.3433297196638,17.7412424563553,16.1804784205912,13.0725487652851,7.27309735905318,15.4329936179365,6.10468744425328
"9",9,78,16.7750571108459,16.6838737749748,8.97582687567089,8.35979806525262,16.3090790681263,9.32716015869989,13.5333064528038
"10",10,90,17.6046984305199,17.1167867479102,18.6459370574769,20.4975299995951,12.1842763335726,15.1636546892669,19.0597688196919
"11",11,102,13.8509183166325,13.4356156356263,18.9899158897898,15.2690122282037,12.9228045537676,13.2991498881897,17.3594584701748
"12",12,114,9.69765948623814,5.20910623721419,9.92787622922126,21.6657460839853,14.2167258189719,11.2188697250012,20.4886555740753
"13",13,126,8.94751811227941,10.0166643086585,17.0716052702601,15.5259647559071,6.70157273212087,15.9815590932821,13.1439948385485
"14",14,138,14.4732458333763,19.5548972832473,14.5413644081357,5.35170003600405,10.1858687119735,7.53415365992522,23.9834504816308
"15",15,149,12.9842857864983,11.329223819152,12.0691228839348,15.4360709328254,11.0452156117046,13.3679898125761,8.87892464636882
"16",16,160,14.5118937563104,17.6936365454712,9.55091002445435,24.1212977869944,10.5504850604081,21.1031453876649,9.50672114076863
"17",17,172,22.1621164145745,16.6324416494006,15.7245185729965,15.3271280404471,18.0081528729139,12.4607642901138,9.68048792141517
"18",18,184,13.9711110673903,13.833891317384,13.8069940744437,19.6019190488281,12.3156105176483,22.5509872375081,15.1988133923855
"19",19,196,8.61248354070495,13.135407225565,11.0434043581804,11.2045044706413,10.9355095509519,9.84724155628699,16.9874026774011
"20",20,208,19.2034331353836,18.3477956909125,12.4959227704168,20.7387463968811,26.7667732950725,13.8866774156039,21.4144288005038
"21",21,219,32.5272412103724,17.2624303144021,11.6497231962267,6.19210239785246,28.1926007276276,27.9816844715481,19.9700542592558
"22",22,231.5,15.9259199027015,19.9713174865849,6.70053325341804,19.4792636343669,18.1744391890085,16.8494833137426,11.9240141969376
"23",23,243,6.50033340012167,8.20836096258095,20.9202280241811,17.706509058797,15.6051502514658,12.5050535229453,18.8358433248765
"24",24,256,15.8703484337602,17.7217887608773,21.4675901686985,22.845107464475,13.2717486056177,24.2711933501382,20.0895210405514
"25",25,268,15.2015153033124,8.33434632725537,16.48972766337,4.10453577039553,20.5692772163268,18.2247738814195,12.1655534493288
"26",26,292,13.8947954162304,21.562853726233,16.9096046537873,22.0161250144754,7.07636913220505,13.1690648131529,16.1923374252432
"27",27,316,15.1757659303982,10.046810678322,16.6218804465234,10.4230524629378,10.2742211297674,9.67150361111953,20.1266410495939
"28",28,329,10.4772783238947,16.4281033302371,10.6934657059959,17.9343009779322,20.6257530325161,18.5344857243268,15.5769494313025
"29",29,344,23.2231986766428,10.4876039772087,15.0667597842184,11.7274634079773,9.05729953569282,25.8677908100914,15.0473809783638
"30",30,359,22.5728321355805,23.7964929140205,10.2835807783231,16.9216641153204,22.8693855750802,19.342507117918,17.0245527699947
"31",31,378,16.4450863210896,15.5792358401812,10.2030665378702,9.21218482590506,12.3277662826388,12.0243036492529,14.8075983074561
"32",32,395,12.7138367954684,16.6213424380901,24.0114058094579,9.80504864505491,19.4310714036434,11.3569758657939,8.26293309404191
"33",33,410.5,14.5335373841459,13.6759395039713,10.2598698768893,18.4670713962215,20.8498076754434,10.9892848197341,18.7204470693489
"34",34,426,9.80824463167687,14.9375607463551,12.0325924269903,13.9646526445504,15.3297680112085,16.9136256148891,13.6219229347935
"35",35,441,14.7131135602029,9.78572741621267,20.3159935853338,14.4714955923629,15.1867564971955,19.1784449978029,13.3234912250085
"36",36,457,20.5802179369515,21.0928044845925,19.7304375205654,17.3655435552427,18.4484350727833,21.3725200846183,13.1201822501007
"37",37,472,15.3309604478654,18.639153010351,14.6326106630205,13.6681770358111,13.2270361123003,17.8173720668804,17.6245691654706
"38",38,488,7.19830979070487,10.2070695237919,11.7887179468727,11.4158144176038,16.4761160425367,9.78570013301506,13.275273644128
"39",39,504,19.859045148015,12.7319520515642,22.3073727559902,14.9585165989363,13.9617248428141,32.6354023163489,21.4897123702683
"40",40,523,18.7443836845268,8.7557421021837,14.9283672514679,27.8364261635701,14.46120340383,17.9956552598021,11.8685098641601
"41",41,551,25.0805743729123,12.3017807281623,11.2868682151847,14.4545358262857,17.8054286171095,12.1809426912449,17.2663390056823
